ensembl_gene_id,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000019260,SMG6,829.9201512,-0.921559178,0.280707854,-3.282983232,0.001027148,0.153703443
ENSCAFG00000030701,ZNF322,337.0314253,-0.65199997,0.19851937,-3.284314123,0.001022309,0.153703443
ENSCAFG00000006947,ATP6V1H,1984.492405,0.772453644,0.236440623,3.267009003,0.001086902,0.159911633
ENSCAFG00000017404,SCPEP1,4227.105542,1.170541627,0.358173955,3.268081367,0.001082792,0.159911633
ENSCAFG00000019566,DIPK1B,27.03613266,3.188009634,0.978248806,3.258894479,0.001118473,0.163185153
ENSCAFG00000019495,SPSB3,461.9407074,-0.97813381,0.3005327,-3.25466683,0.001135255,0.164264774
ENSCAFG00000005874,MAP4K1,1162.149557,-4.354107919,1.342047668,-3.244376504,0.00117708,0.168920695
ENSCAFG00000019922,EMC8,2292.379052,0.53706522,0.165684129,3.241500699,0.001189021,0.16924705
ENSCAFG00000000162,MEX3C,1151.232829,-0.668607289,0.206914931,-3.23131484,0.001232221,0.172589844
ENSCAFG00000000751,TNXB,524.2122302,-2.714141529,0.839709222,-3.232239755,0.00122824,0.172589844
