gene,Hugo_Symbol (add = in front),log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000015083,MED28,0.035743823,0.110167357,0.011177939,0.56105388
ENSCAFG00000015180,SELP,-0.143552393,0.733703644,0.011054943,0.56105388
ENSCAFG00000017404,SCPEP1,0.030400511,0.147315318,0.011242894,0.56105388
ENSCAFG00000018704,SLC1A3,-0.137809304,0.705634173,0.01113104,0.56105388
ENSCAFG00000024753,NA,-0.030124511,0.129612768,0.011042955,0.56105388
ENSCAFG00000029337,CEP20,0.032209183,0.114396931,0.011268794,0.56105388
ENSCAFG00000032305,ZNF473,0.033088432,0.112691372,0.011303898,0.56105388
ENSCAFG00000002026,CYP39A1,-0.038700843,0.215849572,0.011387357,0.561681494
ENSCAFG00000002361,ZNF584,0.033811093,0.11109024,0.01142035,0.561681494
ENSCAFG00000029590,FAM8A1,-0.029484819,0.128074271,0.011428588,0.561681494
ENSCAFG00000002387,COX5B,0.031632777,0.113461096,0.011576664,0.563966963
ENSCAFG00000008810,TMEM192,-0.029658069,0.121022202,0.011587592,0.563966963
ENSCAFG00000046266,NA,-0.075087497,0.411662737,0.011560777,0.563966963
ENSCAFG00000007307,NA,0.138114899,0.722636943,0.011729907,0.567579874
ENSCAFG00000024010,TLR1,0.121750206,0.637867058,0.011737306,0.567579874
ENSCAFG00000003250,C11H9orf43,-0.047940575,0.274942826,0.011895248,0.573373818
ENSCAFG00000004392,DMPK,0.055204951,0.316061832,0.012088218,0.57712606
ENSCAFG00000007553,MRPL35,0.028482077,0.128168782,0.012054602,0.57712606
ENSCAFG00000012899,KLC2,-0.029523452,0.116105322,0.012033978,0.57712606
ENSCAFG00000029496,TP53RK,0.02923129,0.115436226,0.012233097,0.582194761
ENSCAFG00000014178,RANBP1,0.030409879,0.111230779,0.012312556,0.584127874
ENSCAFG00000004135,EEFSEC,0.031919015,0.107869325,0.012497372,0.585507716
ENSCAFG00000013418,NFKBIA,0.048862743,0.284569021,0.012483875,0.585507716
ENSCAFG00000013663,GNAZ,-0.049090412,0.285092107,0.012383325,0.585507716
ENSCAFG00000032144,NRSN2,0.062517699,0.35744699,0.012472645,0.585507716
ENSCAFG00000014566,TRMT44,0.032090411,0.107391479,0.012552447,0.586261655
ENSCAFG00000016833,SNX11,0.027680902,0.130260093,0.012644301,0.588723363
ENSCAFG00000031628,NA,0.031216377,0.107773309,0.012703751,0.589665769
ENSCAFG00000014384,TMEM101,0.032525507,0.105496751,0.012839119,0.593566418
ENSCAFG00000048265,NA,-0.059659999,0.345829885,0.012866723,0.593566418
ENSCAFG00000018158,ZNF521,-0.047102946,0.27810179,0.012965625,0.596299804
